미인수
다정수
순진수
명랑수
적극수
소심수
잔망수
허당수
평범수
호구수
헌신수
강수
냉혈수
지랄수
까칠수
츤데레수
외유내강수
단정수
무심수
능글수
우월수
군림수
유혹수
퇴폐미수
얀데레수
광수
개아가수
스토커수
집착수
계략수
떡대수
황제수
재벌수
연상수
중년수
임신수
사랑꾼수
순정수
짝사랑수
상처수
굴림수
도망수
후회수
절륜수
천재수
능력수
병약수
여장수
얼빠수
