평범녀
뇌섹녀
능력녀
재벌녀
사이다녀
직진녀
계략녀
능글녀
다정녀
애교녀
유혹녀
절륜녀
집착녀
나쁜여자
후회녀
상처녀
짝사랑녀
순정녀
철벽녀
동정녀
순진녀
까칠녀
냉정녀
무심녀
도도녀
외유내강
우월녀
걸크러시
털털녀
엉뚱녀
쾌활발랄녀
