현대물
실존역사물
가상시대물
판타지물
동양풍
서양풍
궁정로맨스
캠퍼스물
학원물
무협물
차원이동
회귀/타임슬립
전생/환생
영혼체인지/빙의
초능력
초월적존재
왕족/귀족
외국인/혼혈
남장여자
바람둥이
역하렘
동거
맞선
속도위반
베이비메신저
조직/암흑가
법조계
메디컬
전문직
군대물
경찰/형사/수사관
연예인
스포츠물
천재
불치병/장애
기억상실
오해
복수
시월드
신데렐라
권선징악
신화물
재회물
오래된연인
첫사랑
친구>연인
라이벌/앙숙
사제지간
나이차커플
키잡물
사내연애
비밀연애
삼각관계
갑을관계
신분차이
계약연애/결혼
정략결혼
선결혼후연애
원나잇
몸정>맘정
소유욕/독점욕/질투
여공남수
금단의관계
운명적사랑
달달물
로맨틱코미디
잔잔물
성장물
힐링물
애잔물
신파
추리/미스터리/스릴러
피폐물
육아물
악녀시점
여주중심
원작소설
더티토크
이야기중심
고수위
하드코어
씬중심
