현대물
시대물
sf/미래물
동양풍
서양풍
판타지물
○○버스
오메가버스
궁정물
무협물
학원/캠퍼스물
추리/스릴러
차원이동/영혼바뀜
회귀물
전생/환생
초능력
인외존재
복수
질투
오해/착각
감금
SM
싸이코패스
외국인
마왕/용사
왕족/귀족
연예계
조직/암흑가
스포츠
군대
경찰/형사
교사X교사
리맨물
사내연애
전문직물
정치/사회/재벌
할리킹
게임물
히어로물
키잡물
역키잡물
대학생
육아물
위장연애
소꿉친구
친구>연인
동거/배우자
오래된연인
첫사랑
재회물
라이벌/열등감
배틀연애
애증
하극상
계약
원나잇
스폰서
금단의관계
사제관계
신분차이
나이차이
다공일수
일공다수
서브공있음
서브수있음
리버스
코믹/개그물
달달물
삽질물
일상물
힐링물
시리어스물
피폐물
사건물
성장물
잔잔물
애절물
하드코어
3인칭시점
공시점
수시점
